Time point	Population	Annotation	Well
6.0	LK	Baso	2
6.0	LK	Monocyte	2
6.0	LK	Monocyte	2
6.0	LK	Baso	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	Monocyte	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	Baso	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Mast	2
6.0	LK	Baso	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	Meg	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	Baso	2
6.0	LK	Monocyte	2
6.0	LK	Baso	2
6.0	LK	Neutrophil	2
6.0	LK	Baso	2
6.0	LK	Baso	2
6.0	LK	Neutrophil	2
6.0	LK	Baso	2
6.0	LK	undiff	2
6.0	LK	Mast	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	Monocyte	2
6.0	LK	Baso	2
6.0	LK	Monocyte	2
6.0	LK	Mast	2
6.0	LK	Mast	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Baso	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Mast	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	Baso	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	Baso	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Baso	2
6.0	LK	Baso	2
6.0	LK	Baso	2
6.0	LK	Monocyte	2
6.0	LK	Erythroid	2
6.0	LK	Neutrophil	2
6.0	LK	Mast	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	Monocyte	2
6.0	LK	Meg	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	Baso	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	Monocyte	2
6.0	LK	Monocyte	2
6.0	LK	Baso	2
6.0	LK	Erythroid	2
6.0	LK	Baso	2
6.0	LK	Neutrophil	2
6.0	LK	Mast	2
6.0	LK	Meg	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	Erythroid	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	Erythroid	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	Baso	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Meg	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	Monocyte	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	Baso	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	Meg	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Baso	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Baso	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Baso	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Baso	2
6.0	LK	Eos	2
6.0	LK	Neutrophil	2
6.0	LK	Eos	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	Meg	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Baso	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Baso	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Mast	2
6.0	LK	Meg	2
6.0	LK	Baso	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Baso	2
6.0	LK	Neutrophil	2
6.0	LK	Baso	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Meg	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	Monocyte	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	Mast	2
6.0	LK	Mast	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	Monocyte	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	Erythroid	2
6.0	LK	undiff	2
6.0	LK	Baso	2
6.0	LK	Monocyte	2
6.0	LK	Lymphoid	2
6.0	LK	Mast	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Baso	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Mast	2
6.0	LK	Baso	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Mast	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Baso	2
6.0	LK	Monocyte	2
6.0	LK	Erythroid	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	Monocyte	2
6.0	LK	Mast	2
6.0	LK	Baso	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Baso	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	Mast	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	Monocyte	2
6.0	LK	Baso	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	Meg	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	Mast	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	Monocyte	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Meg	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	Mast	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Mast	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Baso	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Baso	2
6.0	LK	undiff	2
6.0	LK	Baso	2
6.0	LK	Monocyte	2
6.0	LK	Monocyte	2
6.0	LK	Monocyte	2
6.0	LK	Monocyte	2
6.0	LK	Baso	2
6.0	LK	Neutrophil	2
6.0	LK	Mast	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	Baso	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	Meg	2
6.0	LK	Neutrophil	2
6.0	LK	Mast	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	Mast	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	Baso	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Baso	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	Mast	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Eos	2
6.0	LK	Mast	2
6.0	LK	Monocyte	2
6.0	LK	Baso	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Mast	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	Mast	2
6.0	LK	Eos	2
6.0	LK	Monocyte	2
6.0	LK	Baso	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Ccr7_DC	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Mast	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Meg	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Baso	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Baso	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Baso	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	Mast	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	Meg	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	Monocyte	2
6.0	LK	Monocyte	2
6.0	LK	Monocyte	2
6.0	LK	Baso	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Meg	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	Baso	2
6.0	LK	Neutrophil	2
6.0	LK	Eos	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Mast	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	Baso	2
6.0	LK	Monocyte	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	Mast	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	Baso	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	Mast	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	Baso	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Baso	2
6.0	LK	undiff	2
6.0	LK	Baso	2
6.0	LK	Mast	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	Baso	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Mast	2
6.0	LK	Meg	2
6.0	LK	Neutrophil	2
6.0	LK	Baso	2
6.0	LK	Baso	2
6.0	LK	Baso	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	Baso	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	Monocyte	2
6.0	LK	Baso	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Mast	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Meg	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Baso	2
6.0	LK	Monocyte	2
6.0	LK	Mast	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Mast	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Baso	2
6.0	LK	Monocyte	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Baso	2
6.0	LK	Baso	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Meg	2
6.0	LK	Monocyte	2
6.0	LK	Baso	2
6.0	LK	Neutrophil	2
6.0	LK	Baso	2
6.0	LK	Baso	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	Monocyte	2
6.0	LK	Baso	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Mast	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	Baso	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Mast	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Baso	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	Monocyte	2
6.0	LK	Monocyte	2
6.0	LK	Baso	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	Baso	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Erythroid	2
6.0	LK	Mast	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	Baso	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Mast	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	Meg	2
6.0	LK	Monocyte	2
6.0	LK	Monocyte	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	Baso	2
6.0	LK	Neutrophil	2
6.0	LK	Baso	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	Monocyte	2
6.0	LK	Monocyte	2
6.0	LK	Monocyte	2
6.0	LK	Monocyte	2
6.0	LK	Baso	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	Mast	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Baso	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	Meg	2
6.0	LK	undiff	2
6.0	LK	Mast	2
6.0	LK	Baso	2
6.0	LK	undiff	2
6.0	LK	Baso	2
6.0	LK	Monocyte	2
6.0	LK	Monocyte	2
6.0	LK	Baso	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Mast	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	Mast	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	Monocyte	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Baso	2
6.0	LK	Monocyte	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	Baso	2
6.0	LK	Meg	2
6.0	LK	Monocyte	2
6.0	LK	Monocyte	2
6.0	LK	Neutrophil	2
6.0	LK	undiff	2
6.0	LK	undiff	2
6.0	LK	Neutrophil	2
6.0	LK	Neutrophil	2
